iter	Passed	Remaining
0	62	62535
1	63	31515
2	63	21155
3	64	15990
4	64	12868
5	65	10802
6	65	9321
7	66	8229
8	66	7366
9	67	6678
10	67	6112
11	68	5650
12	69	5239
13	69	4887
14	69	4596
15	70	4336
16	71	4111
17	71	3897
18	71	3714
19	72	3548
20	72	3396
21	73	3268
22	74	3147
23	74	3036
24	75	2934
25	75	2832
26	76	2743
27	76	2654
28	76	2571
29	77	2504
30	78	2441
31	78	2378
32	79	2330
33	80	2285
34	81	2245
35	81	2195
36	82	2146
37	83	2105
38	83	2064
39	84	2023
40	84	1984
41	85	1947
42	85	1912
43	86	1880
44	87	1849
45	87	1822
46	88	1792
47	89	1767
48	90	1765
49	91	1740
50	92	1716
51	93	1695
52	93	1672
53	93	1646
54	94	1621
55	94	1596
56	95	1573
57	95	1550
58	96	1532
59	96	1516
60	97	1498
61	97	1481
62	98	1465
63	99	1454
64	100	1439
65	100	1422
66	101	1409
67	101	1392
68	102	1376
69	102	1361
70	102	1346
71	103	1335
72	104	1325
73	104	1312
74	105	1301
75	106	1292
76	107	1283
77	107	1272
78	108	1260
79	108	1250
80	109	1238
81	109	1228
82	110	1220
83	111	1212
84	112	1206
85	112	1196
86	112	1183
87	113	1172
88	113	1161
89	113	1151
90	114	1140
91	114	1130
92	115	1121
93	115	1113
94	115	1104
95	117	1103
96	117	1095
97	118	1087
98	118	1078
99	119	1071
100	119	1064
101	119	1055
102	120	1052
103	121	1045
104	121	1037
105	122	1031
106	122	1025
107	123	1019
108	123	1012
109	124	1005
110	124	998
111	125	992
112	125	985
113	125	979
114	126	972
115	126	967
116	127	960
117	127	955
118	128	948
119	128	942
120	128	937
121	129	930
122	129	923
123	130	918
124	130	914
125	131	914
126	132	911
127	133	908
128	134	906
129	134	901
130	135	899
131	136	895
132	136	891
133	137	886
134	137	880
135	137	876
136	138	872
137	138	866
138	139	861
139	139	856
140	139	852
141	140	848
142	142	854
143	143	854
144	144	853
145	145	850
146	145	847
147	146	844
148	147	842
149	149	846
150	149	843
151	151	845
152	151	840
153	152	837
154	152	833
155	153	829
156	153	826
157	154	825
158	155	824
159	156	820
160	156	817
161	158	821
162	159	818
163	159	814
164	160	811
165	160	807
166	161	803
167	161	799
168	164	808
169	164	805
170	166	805
171	166	802
172	167	798
173	167	795
174	167	791
175	168	788
176	168	785
177	169	782
178	170	779
179	170	776
180	170	773
181	171	769
182	171	766
183	172	763
184	172	760
185	173	759
186	176	765
187	177	764
188	177	762
189	178	761
190	179	760
191	180	760
192	181	757
193	181	753
194	181	749
195	181	746
196	183	746
197	183	743
198	184	740
199	184	737
200	184	734
201	185	732
202	185	729
203	186	727
204	187	725
205	187	722
206	187	719
207	188	716
208	188	714
209	189	712
210	190	710
211	190	707
212	190	704
213	191	702
214	191	699
215	192	697
216	192	694
217	192	691
218	193	688
219	193	686
220	193	683
221	194	680
222	194	678
223	195	676
224	195	674
225	196	671
226	196	668
227	196	666
228	197	663
229	197	660
230	197	657
231	197	655
232	198	653
233	198	650
234	199	648
235	199	645
236	199	642
237	199	640
238	200	637
239	200	634
240	200	632
241	201	630
242	201	627
243	201	625
244	202	622
245	202	620
246	202	617
247	203	616
248	203	614
249	204	612
250	204	610
251	205	608
252	205	606
253	205	603
254	205	601
255	206	599
256	206	598
257	207	596
258	207	594
259	208	592
260	208	589
261	208	588
262	209	586
263	209	584
264	209	581
265	210	579
266	210	577
267	211	577
268	211	575
269	212	573
270	212	571
271	213	570
272	213	569
273	215	569
274	215	567
275	216	567
276	216	566
277	218	567
278	219	566
279	220	566
280	220	564
281	220	562
282	221	560
283	221	559
284	222	557
285	222	556
286	223	554
287	223	552
288	224	551
289	224	550
290	225	549
291	225	547
292	225	545
293	226	543
294	226	541
295	227	540
296	227	538
297	227	536
298	228	535
299	228	533
300	228	531
301	229	530
302	229	528
303	230	527
304	230	525
305	231	524
306	231	522
307	232	521
308	232	520
309	233	519
310	234	518
311	234	516
312	234	515
313	235	513
314	235	512
315	236	510
316	236	509
317	236	507
318	236	505
319	237	504
320	237	502
321	238	501
322	238	500
323	239	498
324	239	497
325	239	496
326	240	494
327	240	493
328	240	491
329	241	490
330	241	488
331	242	486
332	242	485
333	242	484
334	243	483
335	243	481
336	244	481
337	245	480
338	245	479
339	246	478
340	247	477
341	247	476
342	248	475
343	248	473
344	248	472
345	249	471
346	249	469
347	250	468
348	250	467
349	250	466
350	251	464
351	251	463
352	251	461
353	252	460
354	252	459
355	253	458
356	253	456
357	254	455
358	254	454
359	254	453
360	255	451
361	255	450
362	256	449
363	256	447
364	256	446
365	257	445
366	257	444
367	257	442
368	258	441
369	258	440
370	259	439
371	259	437
372	259	436
373	260	435
374	260	434
375	261	433
376	261	432
377	262	431
378	262	430
379	263	429
380	263	428
381	263	426
382	264	425
383	264	424
384	265	423
385	265	422
386	265	421
387	266	420
388	266	419
389	267	417
390	267	416
391	267	415
392	268	414
393	268	413
394	269	412
395	269	411
396	269	410
397	270	408
398	270	407
399	271	406
400	271	405
401	271	404
402	272	403
403	272	402
404	273	401
405	273	399
406	273	398
407	274	397
408	274	396
409	274	395
410	275	394
411	275	393
412	276	392
413	276	391
414	277	391
415	277	390
416	278	389
417	278	387
418	278	386
419	279	385
420	279	384
421	280	383
422	280	382
423	280	381
424	281	380
425	281	379
426	282	378
427	282	377
428	283	376
429	283	375
430	283	374
431	284	373
432	284	372
433	284	371
434	285	370
435	285	369
436	286	368
437	286	367
438	286	366
439	287	365
440	287	364
441	287	363
442	288	362
443	288	361
444	289	360
445	289	359
446	290	358
447	290	358
448	291	357
449	291	356
450	292	355
451	292	354
452	292	353
453	293	352
454	293	351
455	294	350
456	294	349
457	294	348
458	295	347
459	295	346
460	295	345
461	295	344
462	296	343
463	296	342
464	297	341
465	297	341
466	298	340
467	298	339
468	298	338
469	299	337
470	299	336
471	299	335
472	300	334
473	300	333
474	300	332
475	301	331
476	301	330
477	301	329
478	302	328
479	302	328
480	303	327
481	303	326
482	304	325
483	304	324
484	304	323
485	305	322
486	305	322
487	306	321
488	306	320
489	307	319
490	307	318
491	307	317
492	308	317
493	308	316
494	309	315
495	309	314
496	309	313
497	310	312
498	310	311
499	311	311
500	311	310
501	312	309
502	312	308
503	312	307
504	313	306
505	313	306
506	313	305
507	314	304
508	314	303
509	315	302
510	315	302
511	316	301
512	316	300
513	317	300
514	318	299
515	318	298
516	319	298
517	319	297
518	319	296
519	320	296
520	321	295
521	321	294
522	322	293
523	322	292
524	322	292
525	323	291
526	323	290
527	324	289
528	324	288
529	324	288
530	325	287
531	325	286
532	326	285
533	326	284
534	327	284
535	327	283
536	327	282
537	328	281
538	328	281
539	329	280
540	329	279
541	330	279
542	330	278
543	331	277
544	331	276
545	332	276
546	332	275
547	332	274
548	333	273
549	333	272
550	334	272
551	334	271
552	335	270
553	335	270
554	336	269
555	336	268
556	337	268
557	337	267
558	337	266
559	338	265
560	338	265
561	339	264
562	339	263
563	339	262
564	340	261
565	340	261
566	341	260
567	341	259
568	341	259
569	342	258
570	342	257
571	343	256
572	343	256
573	344	255
574	344	254
575	345	254
576	345	253
577	345	252
578	346	251
579	346	250
580	346	250
581	347	249
582	347	248
583	348	248
584	348	247
585	348	246
586	349	245
587	349	245
588	350	244
589	350	243
590	351	243
591	351	242
592	352	241
593	352	240
594	352	240
595	353	239
596	353	238
597	353	237
598	354	237
599	354	236
600	355	235
601	355	235
602	356	234
603	356	233
604	356	232
605	357	232
606	357	231
607	357	230
608	358	230
609	358	229
610	359	228
611	359	227
612	359	227
613	360	226
614	360	225
615	360	225
616	361	224
617	361	223
618	362	223
619	362	222
620	363	221
621	363	221
622	364	220
623	364	219
624	364	218
625	365	218
626	365	217
627	365	216
628	366	215
629	366	215
630	367	214
631	367	214
632	367	213
633	368	212
634	368	211
635	369	211
636	369	210
637	369	209
638	370	209
639	370	208
640	371	207
641	371	207
642	371	206
643	372	205
644	372	204
645	372	204
646	373	203
647	373	202
648	373	202
649	373	201
650	374	200
651	374	200
652	375	199
653	375	198
654	376	198
655	376	197
656	376	196
657	377	196
658	378	195
659	378	194
660	378	194
661	379	193
662	380	193
663	380	192
664	380	191
665	381	191
666	381	190
667	382	189
668	382	189
669	382	188
670	383	187
671	383	187
672	384	186
673	384	185
674	384	185
675	385	184
676	385	183
677	385	183
678	386	182
679	386	181
680	386	181
681	387	180
682	387	179
683	387	179
684	387	178
685	388	177
686	388	177
687	388	176
688	389	175
689	389	174
690	389	174
691	390	173
692	390	172
693	390	172
694	390	171
695	391	170
696	391	170
697	391	169
698	392	168
699	392	168
700	392	167
701	393	166
702	393	166
703	393	165
704	394	164
705	394	164
706	394	163
707	395	163
708	395	162
709	396	161
710	396	161
711	396	160
712	397	159
713	397	159
714	397	158
715	398	157
716	398	157
717	399	156
718	399	156
719	399	155
720	400	154
721	400	154
722	400	153
723	401	152
724	401	152
725	401	151
726	402	150
727	402	150
728	402	149
729	402	149
730	403	148
731	403	147
732	403	147
733	403	146
734	404	145
735	404	145
736	404	144
737	405	143
738	405	143
739	405	142
740	405	141
741	406	141
742	406	140
743	406	139
744	406	139
745	407	138
746	407	138
747	408	137
748	408	136
749	408	136
750	409	135
751	409	135
752	409	134
753	410	133
754	410	133
755	410	132
756	410	131
757	411	131
758	411	130
759	411	130
760	412	129
761	412	128
762	412	128
763	413	127
764	413	126
765	413	126
766	414	125
767	414	125
768	414	124
769	414	123
770	415	123
771	415	122
772	415	122
773	416	121
774	416	120
775	417	120
776	417	119
777	417	119
778	418	118
779	418	117
780	418	117
781	419	116
782	419	116
783	419	115
784	420	115
785	420	114
786	420	113
787	421	113
788	421	112
789	422	112
790	422	111
791	422	111
792	423	110
793	423	109
794	423	109
795	424	108
796	424	108
797	424	107
798	425	106
799	425	106
800	426	105
801	426	105
802	426	104
803	427	104
804	427	103
805	427	102
806	428	102
807	428	101
808	428	101
809	428	100
810	429	100
811	429	99
812	430	98
813	430	98
814	430	97
815	431	97
816	431	96
817	431	96
818	432	95
819	432	94
820	432	94
821	432	93
822	433	93
823	433	92
824	434	92
825	434	91
826	434	90
827	434	90
828	435	89
829	435	89
830	436	88
831	436	88
832	436	87
833	437	86
834	437	86
835	437	85
836	438	85
837	438	84
838	439	84
839	439	83
840	439	83
841	440	82
842	440	82
843	440	81
844	441	80
845	441	80
846	441	79
847	441	79
848	442	78
849	442	78
850	442	77
851	443	76
852	443	76
853	443	75
854	444	75
855	444	74
856	444	74
857	445	73
858	445	73
859	445	72
860	446	72
861	446	71
862	446	70
863	447	70
864	447	69
865	447	69
866	448	68
867	448	68
868	448	67
869	449	67
870	449	66
871	449	65
872	449	65
873	450	64
874	450	64
875	450	63
876	450	63
877	451	62
878	451	62
879	451	61
880	452	61
881	452	60
882	453	60
883	453	59
884	453	58
885	454	58
886	454	57
887	454	57
888	455	56
889	455	56
890	455	55
891	456	55
892	456	54
893	456	54
894	457	53
895	457	53
896	457	52
897	458	52
898	458	51
899	458	50
900	459	50
901	459	49
902	459	49
903	460	48
904	460	48
905	460	47
906	461	47
907	461	46
908	461	46
909	462	45
910	462	45
911	462	44
912	463	44
913	463	43
914	463	43
915	464	42
916	464	42
917	465	41
918	465	41
919	465	40
920	465	39
921	466	39
922	466	38
923	467	38
924	467	37
925	468	37
926	468	36
927	469	36
928	469	35
929	469	35
930	470	34
931	470	34
932	470	33
933	471	33
934	471	32
935	471	32
936	472	31
937	472	31
938	472	30
939	473	30
940	473	29
941	473	29
942	474	28
943	474	28
944	475	27
945	475	27
946	475	26
947	476	26
948	476	25
949	476	25
950	477	24
951	477	24
952	477	23
