iter	Passed	Remaining
0	57	57379
1	57	28814
2	58	19314
3	58	14559
4	58	11707
5	59	9801
6	59	8441
7	59	7418
8	60	6617
9	60	5976
10	60	5452
11	60	5018
12	61	4647
13	61	4330
14	61	4056
15	62	3820
16	62	3606
17	62	3421
18	62	3251
19	63	3099
20	63	2961
21	63	2835
22	64	2720
23	64	2615
24	64	2519
25	64	2432
26	65	2350
27	65	2276
28	65	2206
29	66	2140
30	66	2079
31	66	2020
32	67	1966
33	67	1914
34	67	1865
35	67	1818
36	68	1774
37	68	1732
38	68	1692
39	68	1655
40	69	1619
41	69	1584
42	69	1552
43	70	1521
44	70	1492
45	70	1463
46	70	1436
47	71	1409
48	71	1384
49	71	1360
50	71	1336
51	72	1314
52	72	1293
53	72	1273
54	72	1252
55	73	1232
56	73	1214
57	73	1196
58	73	1178
59	74	1160
60	74	1144
61	74	1128
62	74	1112
63	75	1098
64	75	1083
65	75	1069
66	75	1056
67	76	1043
68	76	1030
69	76	1018
70	76	1006
71	77	994
72	77	982
73	77	971
74	77	960
75	78	950
76	78	940
77	78	930
78	78	920
79	79	910
80	79	900
81	79	891
82	79	880
83	79	872
84	80	864
85	80	856
86	80	847
87	81	840
88	81	832
89	81	825
90	81	817
91	82	809
92	82	802
93	82	796
94	82	789
95	83	783
96	83	776
97	83	771
98	84	766
99	84	760
100	84	754
101	84	747
102	85	741
103	85	735
104	85	730
105	85	724
106	86	718
107	86	712
108	86	708
109	86	702
110	87	697
111	87	692
112	87	687
113	87	682
114	88	677
115	88	672
116	88	667
117	88	663
118	89	658
119	89	655
120	89	650
121	89	645
122	89	641
123	90	637
124	90	633
125	90	629
126	90	624
127	91	620
128	91	617
129	91	613
130	91	609
131	92	605
132	92	601
133	92	598
134	92	594
135	93	590
136	93	587
137	93	583
138	93	580
139	93	577
140	94	573
141	94	570
142	94	566
143	94	563
144	95	560
145	95	557
146	95	554
147	95	552
148	96	549
149	96	547
150	97	545
151	97	542
152	97	540
153	97	538
154	98	536
155	98	533
156	98	530
157	99	528
158	99	525
159	99	522
160	99	519
161	99	516
162	100	514
163	100	511
164	100	509
165	100	506
166	101	504
167	101	501
168	101	499
169	101	497
170	102	494
171	102	492
172	102	490
173	102	487
174	102	485
175	103	483
176	103	480
177	103	478
178	103	476
179	104	474
180	104	472
181	104	470
182	104	468
183	105	467
184	105	465
185	105	463
186	106	461
187	106	459
188	106	457
189	106	455
190	107	454
191	107	452
192	107	450
193	108	448
194	108	446
195	108	445
196	108	443
197	109	441
198	109	440
199	109	438
200	109	436
201	110	434
202	110	433
203	110	431
204	110	429
205	111	428
206	111	426
207	111	424
208	111	423
209	112	422
210	112	420
211	112	418
212	112	417
213	113	415
214	113	414
215	113	412
216	113	410
217	114	409
218	114	407
219	114	405
220	114	404
221	115	403
222	115	401
223	115	400
224	115	398
225	115	397
226	116	395
227	116	394
228	116	392
229	116	391
230	117	390
231	117	388
232	117	387
233	117	385
234	118	384
235	118	383
236	118	381
237	118	380
238	119	378
239	119	377
240	119	376
241	119	375
242	120	374
243	120	372
244	120	371
245	120	370
246	121	369
247	121	368
248	121	367
249	121	365
250	122	364
251	122	363
252	122	362
253	122	360
254	123	359
255	123	358
256	123	357
257	123	356
258	124	354
259	124	353
260	124	352
261	124	351
262	125	350
263	125	349
264	125	348
265	125	346
266	125	345
267	126	344
268	126	343
269	126	342
270	126	341
271	127	340
272	127	339
273	127	338
274	127	336
275	128	335
276	128	334
277	128	333
278	128	332
279	128	331
280	129	330
281	129	329
282	129	328
283	129	327
284	130	328
285	130	327
286	131	325
287	131	324
288	131	323
289	131	322
290	132	321
291	133	322
292	133	321
293	133	320
294	133	319
295	134	318
296	134	317
297	134	316
298	134	315
299	134	314
300	138	322
301	139	321
302	139	320
303	139	320
304	140	319
305	140	318
306	140	317
307	140	316
308	141	315
309	141	314
310	141	313
311	141	312
312	142	311
313	142	310
314	142	309
315	142	309
316	143	308
317	143	307
318	143	306
319	143	305
320	144	304
321	144	304
322	144	303
323	145	302
324	145	301
325	145	300
326	145	300
327	146	299
328	146	298
329	146	297
330	146	296
331	146	295
332	147	294
333	147	293
334	147	293
335	147	292
336	148	291
337	148	290
338	148	289
339	148	288
340	149	288
341	149	288
342	150	287
343	150	286
344	150	286
345	150	285
346	151	284
347	151	283
348	151	283
349	152	282
350	152	281
351	152	280
352	152	280
353	153	279
354	153	278
355	153	277
356	153	277
357	154	276
358	154	275
359	154	274
360	154	274
361	155	273
362	155	272
363	155	272
364	155	271
365	156	270
366	156	269
367	156	269
368	156	268
369	157	267
370	157	266
371	157	266
372	157	265
373	158	264
374	158	263
375	158	263
376	158	262
377	158	261
378	159	260
379	159	259
380	159	259
381	159	258
382	159	257
383	160	257
384	160	256
385	160	255
386	161	255
387	161	254
388	161	253
389	161	252
390	161	252
391	162	251
392	162	250
393	162	250
394	162	249
395	163	248
396	163	248
397	163	247
398	163	246
399	164	246
400	164	245
401	164	244
402	164	244
403	165	243
404	165	242
405	165	242
406	165	241
407	166	240
408	166	240
409	166	239
410	166	239
411	167	238
412	167	237
413	167	237
414	167	236
415	167	235
416	168	235
417	168	234
418	168	233
419	168	233
420	169	232
421	169	231
422	169	231
423	169	230
424	169	229
425	170	229
426	170	228
427	170	228
428	171	227
429	171	227
430	171	226
431	171	225
432	171	225
433	172	224
434	172	223
435	172	223
436	172	222
437	173	222
438	173	221
439	173	220
440	173	220
441	174	219
442	174	219
443	174	218
444	174	218
445	175	217
446	175	217
447	175	216
448	175	215
449	176	215
450	176	214
451	176	214
452	176	213
453	177	213
454	177	212
455	177	211
456	177	211
457	178	210
458	178	210
459	178	209
460	178	209
461	179	208
462	179	208
463	179	207
464	179	206
465	180	206
466	180	205
467	180	205
468	180	204
469	181	204
470	181	203
471	181	203
472	181	202
473	182	202
474	182	201
475	182	201
476	182	200
477	183	200
478	183	199
479	183	198
480	183	198
481	184	197
482	184	197
483	184	196
484	184	196
485	185	195
486	185	195
487	185	194
488	185	194
489	186	193
490	186	193
491	186	192
492	186	192
493	186	191
494	187	190
495	187	190
496	187	189
497	187	189
498	188	188
499	188	188
500	188	187
501	188	187
502	189	186
503	189	186
504	189	185
505	189	185
506	189	184
507	190	184
508	190	183
509	190	183
510	190	182
511	190	182
512	191	181
513	191	181
514	191	180
515	191	180
516	192	179
517	192	179
518	192	178
519	192	178
520	193	177
521	193	177
522	193	176
523	193	176
524	194	175
525	194	175
526	194	174
527	194	174
528	194	173
529	195	173
530	195	172
531	195	172
532	195	171
533	196	171
534	196	170
535	196	170
536	196	169
537	197	169
538	197	168
539	197	168
540	197	167
541	198	167
542	198	166
543	198	166
544	198	166
545	199	165
546	199	165
547	199	164
548	199	164
549	200	163
550	200	163
551	200	162
552	200	162
553	201	162
554	201	161
555	201	161
556	202	160
557	202	160
558	202	159
559	202	159
